Year,World Avg. (kWh),Australia (kWh)
1965,12910.566,37501.307
1966,13327.765,38355.224
1967,13546.869,39632.262
1968,14072.208,40943.368
1969,14707.997,41597.443
1970,15327.487,44412.524
1971,15636.082,45778.44
1972,16152.373,47108.186
1973,16766.16,49659.359
1974,16540.052,52128.409
1975,16314.062,52349.838
1976,16878.664,53556.686
1977,17186.514,55587.085
1978,17565.947,56733.819
1979,17858.046,58181.158
1980,17408.449,57694.747
1981,17029.891,57868.816
1982,16639.112,56572.906
1983,16609.319,53873.449
1984,17088.823,55104.478
1985,17223.783,55854.25
1986,17293.801,56051.282
1987,17571.717,56759.454
1988,17910.436,58385.836
1989,17937.43,60380.185
1990,17839.285,60733.383
1991,17680.105,59467.538
1992,17523.868,59708.124
1993,17393.894,60265.197
1994,17367.32,61930.919
1995,17500.082,63977.397
1996,17752.164,65141.525
1997,17685.274,66024.667
1998,17549.312,66876.845
1999,17627.958,68866.199
2000,17835.157,68580.982
2001,17781.21,68393.125
2002,17946.268,69010.981
2003,18353.492,69186.097
2004,19016.649,70455.362
2005,19387.903,69602.964
2006,19692.204,71393.127
2007,20057.393,71538.781
2008,20025.212,71120.138
2009,19478.942,68529.882
2010,20178.203,66814.686
2011,20420.296,67597.023
2012,20449.348,65693.01
2013,20582.957,65522.498
2014,20543.403,65222.362
2015,20491.034,65836.688
2016,20532.49,65214.135
2017,20675.493,64033.683
2018,20971.585,63560.204
2019,20941.391,64774.684
2020,19836.36,60660.293
